🕘️更新时间,#genre#
2026-05-09 06:57:59,http://221.13.235.203:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://221.13.235.203:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://198.204.228.26/live/cctv2hd.m3u8
CCTV-3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-3,http://221.13.235.120:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://221.13.235.120:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://198.204.228.26/live/cctv5p.m3u8
CCTV-6,http://221.13.235.120:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8
CCTV-7,http://101.66.198.87:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://198.204.228.26/live/cctv8hd.m3u8
CCTV-9,http://221.13.235.120:9901/tsfile/live/0009_1.m3u8
CCTV-9,http://101.66.198.87:9901/tsfile/live/0009_1.m3u8
CCTV-10,https://cdn4.skygo.mn/live/disk1/CCTV-10/HLSv3-FTA/CCTV-10.m3u8
CCTV-10,http://101.66.198.87:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://198.204.228.26/live/cctv13hd.m3u8
CCTV-14,http://101.66.195.162:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://101.66.195.162:9901/tsfile/live/0015_1.m3u8

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://101.66.195.162:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://101.66.195.162:9901/tsfile/live/0016_1.m3u8
湖北卫视,http://101.66.198.136:9901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://101.66.198.136:9901/tsfile/live/0143_1.m3u8
安徽卫视,http://101.66.198.136:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://101.66.195.162:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://101.66.198.136:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://101.66.195.162:9901/tsfile/live/0142_1.m3u8
东南卫视,http://101.66.198.11:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://101.66.198.87:9901/tsfile/live/0017_1.m3u8
江西卫视,http://101.66.198.11:9901/tsfile/live/0138_1.m3u8
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8
青海卫视,http://198.204.228.26/live/qhws.m3u8
山东卫视,http://101.66.198.136:9901/tsfile/live/0131_1.m3u8
山东卫视,http://101.66.198.11:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://101.66.198.87:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://198.204.228.26/live/ssws.m3u8
新疆卫视,http://107.150.60.122/live/xjws.m3u8
云南卫视,http://101.66.198.136:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
